day,daytime,listeningDuration,activity,contentType,medium,intention
13.05.2019,,,,,,
,Morning,,,,,
,,10-60min,walking,music,streaming,relaxing
,,10-30min,study,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,10-30min,study,music,streaming,concentration
,,>60min,study,music,streaming,concentration
,,10-30min,walking,music,streaming,relaxing
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,>60min,study,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
14.05.2019,,,,,,
,Morning,,,,,
,,10-30min,study,music,radio,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,>60min,study,music,streaming,concentration
,,10-60min,dishwashing,music,streaming,relaxing
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,10-60min,chilling,music,streaming,relaxing
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
15.05.2019,,,,,,
,Morning,,,,,
,,10-60min,walking,music,streaming,relaxing
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,>60min,study,music,streaming,relaxing
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
16.05.2019,,,,,,
,Morning,,,,,
,,10-30min,study,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,>60min,study,music,radio,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
17.05.2019,,,,,,
,Morning,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,10-60min,transportation,music,streaming,relaxing
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
18.05.2019,,,,,,
,Morning,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
19.05.2019,,,,,,
,Morning,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,10-30min,study,music,streaming,concentration
,,10-30min,study,music,radio,concentration
,,>60min,study,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
20.05.2019,,,,,,
,Morning,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,>60min,study,music,streaming,concentration
,,>60min,study,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
21.05.2019,,,,,,
,Morning,,,,,
,,>60min,study,music,streaming,concentration
,,>60min,study,music,radio,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,>60min,,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
22.05.2019,,,,,,
,Morning,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,>60min,study,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
23.05.2019,,,,,,
,Morning,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,>60min,study,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,10-60min,work,music,streaming,concentration
,,>60min,making a gift,music,streaming,passive
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
24.05.2019,,,,,,
,Morning,,,,,
,,10-30min,chilling,music,streaming,relaxing
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,10-60min,eating,music,streaming,passive
,,10-60min,play cards,music,vinyl,relaxing
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
25.05.2019,,,,,,
,Morning,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26.05.2019,,,,,,
,Morning,,,,,
,,10-60min,preparing election day,music,streaming,concentration
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Noon,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Evening,,,,,
