day,daytime,duration,personAmount,personType
13.05.2019,,,,
,Morning,,,
,,<10min,3-4,flatmates
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,,,
,,,,
,,,,
,,,,
14.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
15.05.2019,,,,
,Morning,,,
,,>60min,1,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,partner(gf/bf)
,,>60min,1,friends
,,,,
,,,,
,Evening,,,
,,>60min,>10,mixed
,,,,
,,,,
,,,,
16.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,2,friends
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,2,friends
,,,,
,,,,
,,,,
17.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,1,friends
,,10-30min,3-4,mixed
,,,,
,,,,
,Evening,,,
,,>60min,1,family
,,,,
,,,,
,,,,
18.05.2019,,,,
,Morning,,,
,,10-30min,3-4,family
,,>60min,3-4,family
,,,,
,,,,
,Noon,,,
,,>60min,3-4,family
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,>10,family
,,,,
,,,,
,,,,
19.05.2019,,,,
,Morning,,,
,,30-60min,3-4,family
,,>60min,2,family
,,,,
,,,,
,Noon,,,
,,>60min,2,family
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,2,partner(gf/bf)
,,,,
,,,,
,,,,
20.05.2019,,,,
,Morning,,,
,,>60min,2,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,2,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,2,partner(gf/bf)
,,>60min,3-4,friends
,,,,
,,,,
21.05.2019,,,,
,Morning,,,
,,>60min,3-4,friends
,,,,
,,,,
,,,,
,Noon,,,
,,10-30min,3-4,flatmates
,,,,
,,,,
,,,,
,Evening,,,
,,,,
,,,,
,,,,
,,,,
22.05.2019,,,,
,Morning,,,
,,>60min,3-4,friends
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,3-4,friends
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,2,friends
,,>60min,4-10,mixed
,,,,
,,,,
23.05.2019,,,,
,Morning,,,
,,>60min,2,friends
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,2,friends
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,2,partner(gf/bf)
,,,,
,,,,
,,,,
24.05.2019,,,,
,Morning,,,
,,>60min,2,partner(gf/bf)
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,2,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,4-10,mixed
,,,,
,,,,
,,,,
25.05.2019,,,,
,Morning,,,
,,>60min,3-4,mixed
,,,,
,,,,
,,,,
,Noon,,,
,,>60min,2,partner(gf/bf)
,,,,
,,,,
,,,,
,Evening,,,
,,>60min,3-4,mixed
,,,,
,,,,
,,,,
26.05.2019,,,,
,Morning,,,
,,>60min,3-4,mixed
,,,,
,,,,
,,,,
,Noon,,,
,,,4-10,mixed
,,,,
,,,,
,,,,
,Evening,,,
,,,3-4,mixed
