day,daytime,foodType,foodSize,where
13.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
14.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,atHome
,,,,
,,,,
,,,,
,Evening,,,
,,vegan,snack,somewhereElse
,,,,
,,,,
,,,,
15.05.2019,,,,
,Morning,,,
,,meatEater,snack,canteen
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,meatEater,fullMeal,atHome
,,,,
,,,,
,,,,
16.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
17.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,meatEater,fullMeal,atHome
,,,,
,,,,
,,,,
18.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,snack,somewhereElse
,,,,
,,,,
,,,,
19.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,atHome
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
20.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,meatEater,snack,somewhereElse
,,,,
,,,,
,,,,
21.05.2019,,,,
,Morning,,,
,,vegetarian,snack,somewhereElse
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,snack,somewhereElse
,,,,
,,,,
,,,,
,Evening,,,
,,meatEater,fullMeal,atHome
,,,,
,,,,
,,,,
22.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,snack,canteen
,,,,
,,,,
,,,,
23.05.2019,,,,
,Morning,,,
,,,,
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,fullMeal,canteen
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
24.05.2019,,,,
,Morning,,,
,,vegetarian,fullMeal,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,,,
,,,,
,,,,
,,,,
,Evening,,,
,,vegan,snack,atHome
,,,,
,,,,
,,,,
25.05.2019,,,,
,Morning,,,
,,vegetarian,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,vegetarian,fullMeal,restaurant
,,,,
,,,,
,,,,
,Evening,,,
,,vegan,snack,atHome
,,,,
,,,,
,,,,
26.05.2019,,,,
,Morning,,,
,,meatEater,snack,atHome
,,,,
,,,,
,,,,
,Noon,,,
,,meatEater,snack,somewhereElse
,,,,
,,,,
,,,,
,Evening,,,
,,vegetarian,snack,restaurant
